created_at,user_id_str,full_text,cleaned,casefolded,normalized,tokens,tokens_clean,stemmed
Fri Dec 26 16:38:57 +0000 2025,1840546690602061824,@akeewra Apa ia dik fek kh atau bahlil etanol? Anw agaknya sudah lama my gwe tidak berkunjung ke wangsaf nanti iaa wowkwowk. Baru tau awak cenayang anw. Dd akeewra apa yh. WKWKWK aduh kayaknya terlalu personal dik kamu juga dah tau kah ya kurang lebih intinya gimana. Anw-,Apa ia dik fek kh atau bahlil etanol Anw agaknya sudah lama my gwe tidak berkunjung ke wangsaf nanti iaa wowkwowk Baru tau awak cenayang anw Dd akeewra apa yh WKWKWK aduh kayaknya terlalu personal dik kamu juga dah tau kah ya kurang lebih intinya gimana Anw,apa ia dik fek kh atau bahlil etanol anw agaknya sudah lama my gwe tidak berkunjung ke wangsaf nanti iaa wowkwowk baru tau awak cenayang anw dd akeewra apa yh wkwkwk aduh kayaknya terlalu personal dik kamu juga dah tau kah ya kurang lebih intinya gimana anw,apa ia dik fek kh atau bahlil etanol anw agaknya sudah lama my gwe tidak berkunjung ke wangsaf nanti iaa wowkwowk baru tau awak cenayang anw dd akeewra apa yh wkwkwk aduh kayaknya terlalu personal dik kamu juga dah tau kah ya kurang lebih intinya gimana anw,"['apa', 'ia', 'dik', 'fek', 'kh', 'atau', 'bahlil', 'etanol', 'anw', 'agaknya', 'sudah', 'lama', 'my', 'gwe', 'tidak', 'berkunjung', 'ke', 'wangsaf', 'nanti', 'iaa', 'wowkwowk', 'baru', 'tau', 'awak', 'cenayang', 'anw', 'dd', 'akeewra', 'apa', 'yh', 'wkwkwk', 'aduh', 'kayaknya', 'terlalu', 'personal', 'dik', 'kamu', 'juga', 'dah', 'tau', 'kah', 'ya', 'kurang', 'lebih', 'intinya', 'gimana', 'anw']","['dik', 'fek', 'bahlil', 'etanol', 'anw', 'gwe', 'berkunjung', 'wangsaf', 'iaa', 'wowkwowk', 'tau', 'awak', 'cenayang', 'anw', 'akeewra', 'wkwkwk', 'aduh', 'kayaknya', 'personal', 'dik', 'dah', 'tau', 'kah', 'intinya', 'gimana', 'anw']","['dik', 'fek', 'bahlil', 'etanol', 'anw', 'gwe', 'kunjung', 'wangsaf', 'iaa', 'wowkwowk', 'tau', 'awak', 'cenayang', 'anw', 'akeewra', 'wkwkwk', 'aduh', 'kayak', 'personal', 'dik', 'dah', 'tau', 'kah', 'inti', 'gimana', 'anw']"
Fri Dec 26 16:22:44 +0000 2025,1927597521573961728,wey moots vote yg ga pencet vote niscaya peri tidur bernama bahlil akan mendatangi kalian malam ini didalam mimpi membawa tsunami etanol,wey moots vote yg ga pencet vote niscaya peri tidur bernama bahlil akan mendatangi kalian malam ini didalam mimpi membawa tsunami etanol,wey moots vote yg ga pencet vote niscaya peri tidur bernama bahlil akan mendatangi kalian malam ini didalam mimpi membawa tsunami etanol,wey moots vote yang tidak pencet vote niscaya peri tidur bernama bahlil akan mendatangi kalian malam ini didalam mimpi membawa tsunami etanol,"['wey', 'moots', 'vote', 'yang', 'tidak', 'pencet', 'vote', 'niscaya', 'peri', 'tidur', 'bernama', 'bahlil', 'akan', 'mendatangi', 'kalian', 'malam', 'ini', 'didalam', 'mimpi', 'membawa', 'tsunami', 'etanol']","['wey', 'moots', 'vote', 'pencet', 'vote', 'niscaya', 'peri', 'tidur', 'bernama', 'bahlil', 'malam', 'didalam', 'mimpi', 'membawa', 'tsunami', 'etanol']","['wey', 'moots', 'vote', 'pencet', 'vote', 'niscaya', 'peri', 'tidur', 'nama', 'bahlil', 'malam', 'dalam', 'mimpi', 'bawa', 'tsunami', 'etanol']"
Fri Dec 26 15:55:00 +0000 2025,1496846304697528323, Etanol bukan cuma ramah lingkungan bisa juga berpengaruh pada konsumsi bahan bakar dan respons mesin. Yuk baca fakta &amp; mitos-nya di sini: https://t.co/NlunQUAaq3 #Etanol #GreenFuel #PerformaMesin #HematBBM #SustainableDriving,Etanol bukan cuma ramah lingkungan bisa juga berpengaruh pada konsumsi bahan bakar dan respons mesin Yuk baca fakta mitos nya di sini Etanol GreenFuel PerformaMesin HematBBM SustainableDriving,etanol bukan cuma ramah lingkungan bisa juga berpengaruh pada konsumsi bahan bakar dan respons mesin yuk baca fakta mitos nya di sini etanol greenfuel performamesin hematbbm sustainabledriving,etanol bukan cuma ramah lingkungan bisa juga berpengaruh pada konsumsi bahan bakar dan respons mesin yuk baca fakta mitos nya di sini etanol greenfuel performamesin hematbbm sustainabledriving,"['etanol', 'bukan', 'cuma', 'ramah', 'lingkungan', 'bisa', 'juga', 'berpengaruh', 'pada', 'konsumsi', 'bahan', 'bakar', 'dan', 'respons', 'mesin', 'yuk', 'baca', 'fakta', 'mitos', 'nya', 'di', 'sini', 'etanol', 'greenfuel', 'performamesin', 'hematbbm', 'sustainabledriving']","['etanol', 'ramah', 'lingkungan', 'berpengaruh', 'konsumsi', 'bahan', 'bakar', 'respons', 'mesin', 'yuk', 'baca', 'fakta', 'mitos', 'nya', 'etanol', 'greenfuel', 'performamesin', 'hematbbm', 'sustainabledriving']","['etanol', 'ramah', 'lingkung', 'pengaruh', 'konsumsi', 'bahan', 'bakar', 'respons', 'mesin', 'yuk', 'baca', 'fakta', 'mitos', 'nya', 'etanol', 'greenfuel', 'performamesin', 'hematbbm', 'sustainabledriving']"
Fri Dec 26 15:55:00 +0000 2025,1496846304697528323,️ Sebelum kamu mencampur etanol ke bensin mobil baca dulu hasil penelitian ini. Bisa mempengaruhi tenaga torsi dan efisiensi BBM! https://t.co/NlunQUAaq3 #AutoTips #BBMEtanol #PerformaKendaraan #Bensin #Otomotif,Sebelum kamu mencampur etanol ke bensin mobil baca dulu hasil penelitian ini Bisa mempengaruhi tenaga torsi dan efisiensi BBM AutoTips BBMEtanol PerformaKendaraan Bensin Otomotif,sebelum kamu mencampur etanol ke bensin mobil baca dulu hasil penelitian ini bisa mempengaruhi tenaga torsi dan efisiensi bbm autotips bbmetanol performakendaraan bensin otomotif,sebelum kamu mencampur etanol ke bensin mobil baca dulu hasil penelitian ini bisa mempengaruhi tenaga torsi dan efisiensi bbm autotips bbmetanol performakendaraan bensin otomotif,"['sebelum', 'kamu', 'mencampur', 'etanol', 'ke', 'bensin', 'mobil', 'baca', 'dulu', 'hasil', 'penelitian', 'ini', 'bisa', 'mempengaruhi', 'tenaga', 'torsi', 'dan', 'efisiensi', 'bbm', 'autotips', 'bbmetanol', 'performakendaraan', 'bensin', 'otomotif']","['mencampur', 'etanol', 'bensin', 'mobil', 'baca', 'hasil', 'penelitian', 'mempengaruhi', 'tenaga', 'torsi', 'efisiensi', 'bbm', 'autotips', 'bbmetanol', 'performakendaraan', 'bensin', 'otomotif']","['campur', 'etanol', 'bensin', 'mobil', 'baca', 'hasil', 'teliti', 'pengaruh', 'tenaga', 'torsi', 'efisiensi', 'bbm', 'autotips', 'bbmetanol', 'performakendaraan', 'bensin', 'otomotif']"
Fri Dec 26 14:55:00 +0000 2025,1496846304697528323, Mau mesin lebih bertenaga tanpa boros bensin? Pelajari bagaimana dosis etanol bisa berdampak besar terhadap performa dan efisiensi bahan bakar. ️ https://t.co/NlunQUAIfB,Mau mesin lebih bertenaga tanpa boros bensin Pelajari bagaimana dosis etanol bisa berdampak besar terhadap performa dan efisiensi bahan bakar,mau mesin lebih bertenaga tanpa boros bensin pelajari bagaimana dosis etanol bisa berdampak besar terhadap performa dan efisiensi bahan bakar,mau mesin lebih bertenaga tanpa boros bensin pelajari bagaimana dosis etanol bisa berdampak besar terhadap performa dan efisiensi bahan bakar,"['mau', 'mesin', 'lebih', 'bertenaga', 'tanpa', 'boros', 'bensin', 'pelajari', 'bagaimana', 'dosis', 'etanol', 'bisa', 'berdampak', 'besar', 'terhadap', 'performa', 'dan', 'efisiensi', 'bahan', 'bakar']","['mesin', 'bertenaga', 'boros', 'bensin', 'pelajari', 'dosis', 'etanol', 'berdampak', 'performa', 'efisiensi', 'bahan', 'bakar']","['mesin', 'tenaga', 'boros', 'bensin', 'ajar', 'dosis', 'etanol', 'dampak', 'performa', 'efisiensi', 'bahan', 'bakar']"
Fri Dec 26 14:06:38 +0000 2025,446968758,@anekchandesu Dukung kak met mnginjak kpl bhil etanol,Dukung kak met mnginjak kpl bhil etanol,dukung kak met mnginjak kpl bhil etanol,dukung kak met mnginjak kpl bhil etanol,"['dukung', 'kak', 'met', 'mnginjak', 'kpl', 'bhil', 'etanol']","['dukung', 'kak', 'met', 'mnginjak', 'kpl', 'bhil', 'etanol']","['dukung', 'kak', 'met', 'mnginjak', 'kpl', 'bhil', 'etanol']"
Fri Dec 26 14:06:21 +0000 2025,1632918924,Menteri ESDM Bahlil Pastikan Implementasi Etanol Berjalan Tahun 2027 https://t.co/4K5zOrvxrR,Menteri ESDM Bahlil Pastikan Implementasi Etanol Berjalan Tahun,menteri esdm bahlil pastikan implementasi etanol berjalan tahun,menteri esdm bahlil pastikan implementasi etanol berjalan tahun,"['menteri', 'esdm', 'bahlil', 'pastikan', 'implementasi', 'etanol', 'berjalan', 'tahun']","['menteri', 'esdm', 'bahlil', 'pastikan', 'implementasi', 'etanol', 'berjalan']","['menteri', 'esdm', 'bahlil', 'pasti', 'implementasi', 'etanol', 'jalan']"
Fri Dec 26 13:54:51 +0000 2025,1496846304697528323, Apakah benar campuran etanol dapat meningkatkan performa mesin sekaligus menghemat konsumsi BBM? Simak hasil uji &amp; analisis lengkapnya di artikel ini! https://t.co/NlunQUAIfB #Etanol #PerformaMesin #KonsumsiBBM #OtomotifIndonesia #EcoDriving,Apakah benar campuran etanol dapat meningkatkan performa mesin sekaligus menghemat konsumsi BBM Simak hasil uji analisis lengkapnya di artikel ini Etanol PerformaMesin KonsumsiBBM OtomotifIndonesia EcoDriving,apakah benar campuran etanol dapat meningkatkan performa mesin sekaligus menghemat konsumsi bbm simak hasil uji analisis lengkapnya di artikel ini etanol performamesin konsumsibbm otomotifindonesia ecodriving,apakah benar campuran etanol dapat meningkatkan performa mesin sekaligus menghemat konsumsi bbm simak hasil uji analisis lengkapnya di artikel ini etanol performamesin konsumsibbm otomotifindonesia ecodriving,"['apakah', 'benar', 'campuran', 'etanol', 'dapat', 'meningkatkan', 'performa', 'mesin', 'sekaligus', 'menghemat', 'konsumsi', 'bbm', 'simak', 'hasil', 'uji', 'analisis', 'lengkapnya', 'di', 'artikel', 'ini', 'etanol', 'performamesin', 'konsumsibbm', 'otomotifindonesia', 'ecodriving']","['campuran', 'etanol', 'meningkatkan', 'performa', 'mesin', 'menghemat', 'konsumsi', 'bbm', 'simak', 'hasil', 'uji', 'analisis', 'lengkapnya', 'artikel', 'etanol', 'performamesin', 'konsumsibbm', 'otomotifindonesia', 'ecodriving']","['campur', 'etanol', 'tingkat', 'performa', 'mesin', 'hemat', 'konsumsi', 'bbm', 'simak', 'hasil', 'uji', 'analisis', 'lengkap', 'artikel', 'etanol', 'performamesin', 'konsumsibbm', 'otomotifindonesia', 'ecodriving']"
Fri Dec 26 13:29:24 +0000 2025,1720665183188922368,@SelenRose13 Visi Pak Prabowo untuk Papua sebagai pusat bioenergi nasional fokus pada produksi biofuel dari kelapa sawit tebu dan singkong untuk kurangi impor BBM dan capai kemandirian energi. Bandingkan dengan Brasil: Sukses dengan etanol tebu kurangi impor minyak hingga 30% sejak,Visi Pak Prabowo untuk Papua sebagai pusat bioenergi nasional fokus pada produksi biofuel dari kelapa sawit tebu dan singkong untuk kurangi impor BBM dan capai kemandirian energi Bandingkan dengan Brasil Sukses dengan etanol tebu kurangi impor minyak hingga sejak,visi pak prabowo untuk papua sebagai pusat bioenergi nasional fokus pada produksi biofuel dari kelapa sawit tebu dan singkong untuk kurangi impor bbm dan capai kemandirian energi bandingkan dengan brasil sukses dengan etanol tebu kurangi impor minyak hingga sejak,visi pak prabowo untuk papua sebagai pusat bioenergi nasional fokus pada produksi biofuel dari kelapa sawit tebu dan singkong untuk kurangi impor bbm dan capai kemandirian energi bandingkan dengan brasil sukses dengan etanol tebu kurangi impor minyak hingga sejak,"['visi', 'pak', 'prabowo', 'untuk', 'papua', 'sebagai', 'pusat', 'bioenergi', 'nasional', 'fokus', 'pada', 'produksi', 'biofuel', 'dari', 'kelapa', 'sawit', 'tebu', 'dan', 'singkong', 'untuk', 'kurangi', 'impor', 'bbm', 'dan', 'capai', 'kemandirian', 'energi', 'bandingkan', 'dengan', 'brasil', 'sukses', 'dengan', 'etanol', 'tebu', 'kurangi', 'impor', 'minyak', 'hingga', 'sejak']","['visi', 'prabowo', 'papua', 'pusat', 'bioenergi', 'nasional', 'fokus', 'produksi', 'biofuel', 'kelapa', 'sawit', 'tebu', 'singkong', 'kurangi', 'impor', 'bbm', 'capai', 'kemandirian', 'energi', 'bandingkan', 'brasil', 'sukses', 'etanol', 'tebu', 'kurangi', 'impor', 'minyak']","['visi', 'prabowo', 'papua', 'pusat', 'bioenergi', 'nasional', 'fokus', 'produksi', 'biofuel', 'kelapa', 'sawit', 'tebu', 'singkong', 'kurang', 'impor', 'bbm', 'capai', 'mandiri', 'energi', 'banding', 'brasil', 'sukses', 'etanol', 'tebu', 'kurang', 'impor', 'minyak']"
Fri Dec 26 13:29:02 +0000 2025,1720665183188922368,@wdykusumaa_ Wah makasih ya udah tag! Roadmap Pak Prabowo buat Papua jadi pusat energi nasional fokus energi hijau: kembangkan solar mini-hydro geothermal &amp; bioenergi dari sawit (biodiesel) tebu-singkong (etanol). Target swasembada 5 tahun kurangi impor BBM hemat triliunan. Potensinya,Wah makasih ya udah tag Roadmap Pak Prabowo buat Papua jadi pusat energi nasional fokus energi hijau kembangkan solar mini hydro geothermal bioenergi dari sawit biodiesel tebu singkong etanol Target swasembada tahun kurangi impor BBM hemat triliunan Potensinya,wah makasih ya udah tag roadmap pak prabowo buat papua jadi pusat energi nasional fokus energi hijau kembangkan solar mini hydro geothermal bioenergi dari sawit biodiesel tebu singkong etanol target swasembada tahun kurangi impor bbm hemat triliunan potensinya,wah makasih ya udah tag roadmap pak prabowo buat papua jadi pusat energi nasional fokus energi hijau kembangkan solar mini hydro geothermal bioenergi dari sawit biodiesel tebu singkong etanol target swasembada tahun kurangi impor bbm hemat triliunan potensinya,"['wah', 'makasih', 'ya', 'udah', 'tag', 'roadmap', 'pak', 'prabowo', 'buat', 'papua', 'jadi', 'pusat', 'energi', 'nasional', 'fokus', 'energi', 'hijau', 'kembangkan', 'solar', 'mini', 'hydro', 'geothermal', 'bioenergi', 'dari', 'sawit', 'biodiesel', 'tebu', 'singkong', 'etanol', 'target', 'swasembada', 'tahun', 'kurangi', 'impor', 'bbm', 'hemat', 'triliunan', 'potensinya']","['makasih', 'udah', 'tag', 'roadmap', 'prabowo', 'papua', 'pusat', 'energi', 'nasional', 'fokus', 'energi', 'hijau', 'kembangkan', 'solar', 'mini', 'hydro', 'geothermal', 'bioenergi', 'sawit', 'biodiesel', 'tebu', 'singkong', 'etanol', 'target', 'swasembada', 'kurangi', 'impor', 'bbm', 'hemat', 'triliunan', 'potensinya']","['makasih', 'udah', 'tag', 'roadmap', 'prabowo', 'papua', 'pusat', 'energi', 'nasional', 'fokus', 'energi', 'hijau', 'kembang', 'solar', 'mini', 'hydro', 'geothermal', 'bioenergi', 'sawit', 'biodiesel', 'tebu', 'singkong', 'etanol', 'target', 'swasembada', 'kurang', 'impor', 'bbm', 'hemat', 'triliun', 'potensi']"
