created_at,user_id_str,full_text,clean_text,normalized,tokens,stemmed,final_text
Fri Dec 26 16:38:57 +0000 2025,1840546690602061824,@akeewra Apa ia dik fek kh atau bahlil etanol? Anw agaknya sudah lama my gwe tidak berkunjung ke wangsaf nanti iaa wowkwowk. Baru tau awak cenayang anw. Dd akeewra apa yh. WKWKWK aduh kayaknya terlalu personal dik kamu juga dah tau kah ya kurang lebih intinya gimana. Anw-,apa ia dik fek kh atau bahlil etanol anw agaknya sudah lama my gwe tidak berkunjung ke wangsaf nanti iaa wowkwowk baru tau awak cenayang anw dd akeewra apa yh wkwkwk aduh kayaknya terlalu personal dik kamu juga dah tau kah ya kurang lebih intinya gimana anw,apa ia dik fek kah atau bahlil etanol anw agaknya sudah lama my gwe tidak berkunjung ke wangsaf nanti iya wowkwowk baru tau awak cenayang anw dd akeewra apa ya wkwkwk aduh kayaknya terlalu personal dik kamu juga sudah tau kah ya kurang lebih intinya bagaimana anw,"['dik', 'fek', 'kah', 'bahlil', 'etanol', 'anw', 'gwe', 'berkunjung', 'wangsaf', 'iya', 'wowkwowk', 'tau', 'awak', 'cenayang', 'anw', 'akeewra', 'wkwkwk', 'aduh', 'kayaknya', 'personal', 'dik', 'tau', 'kah', 'intinya', 'anw']","['dik', 'fek', 'kah', 'bahlil', 'etanol', 'anw', 'gwe', 'kunjung', 'wangsaf', 'iya', 'wowkwowk', 'tau', 'awak', 'cenayang', 'anw', 'akeewra', 'wkwkwk', 'aduh', 'kayak', 'personal', 'dik', 'tau', 'kah', 'inti', 'anw']",dik fek kah bahlil etanol anw gwe kunjung wangsaf iya wowkwowk tau awak cenayang anw akeewra wkwkwk aduh kayak personal dik tau kah inti anw
Fri Dec 26 16:22:44 +0000 2025,1927597521573961728,wey moots vote yg ga pencet vote niscaya peri tidur bernama bahlil akan mendatangi kalian malam ini didalam mimpi membawa tsunami etanol,wey moots vote yg ga pencet vote niscaya peri tidur bernama bahlil akan mendatangi kalian malam ini didalam mimpi membawa tsunami etanol,wey moots vote yang tidak pencet vote niscaya peri tidur bernama bahlil akan mendatangi kalian malam ini didalam mimpi membawa tsunami etanol,"['wey', 'moots', 'vote', 'pencet', 'vote', 'niscaya', 'peri', 'tidur', 'bernama', 'bahlil', 'malam', 'didalam', 'mimpi', 'membawa', 'tsunami', 'etanol']","['wey', 'moots', 'vote', 'pencet', 'vote', 'niscaya', 'peri', 'tidur', 'nama', 'bahlil', 'malam', 'dalam', 'mimpi', 'bawa', 'tsunami', 'etanol']",wey moots vote pencet vote niscaya peri tidur nama bahlil malam dalam mimpi bawa tsunami etanol
Fri Dec 26 15:55:00 +0000 2025,1496846304697528323, Etanol bukan cuma ramah lingkungan bisa juga berpengaruh pada konsumsi bahan bakar dan respons mesin. Yuk baca fakta &amp; mitos-nya di sini: https://t.co/NlunQUAaq3 #Etanol #GreenFuel #PerformaMesin #HematBBM #SustainableDriving,etanol bukan cuma ramah lingkungan bisa juga berpengaruh pada konsumsi bahan bakar dan respons mesin yuk baca fakta amp mitos nya di sini,etanol bukan cuma ramah lingkungan bisa juga berpengaruh pada konsumsi bahan bakar dan respons mesin yuk baca fakta amp mitos ya di sini,"['etanol', 'ramah', 'lingkungan', 'berpengaruh', 'konsumsi', 'bahan', 'bakar', 'respons', 'mesin', 'yuk', 'baca', 'fakta', 'amp', 'mitos']","['etanol', 'ramah', 'lingkung', 'pengaruh', 'konsumsi', 'bahan', 'bakar', 'respons', 'mesin', 'yuk', 'baca', 'fakta', 'amp', 'mitos']",etanol ramah lingkung pengaruh konsumsi bahan bakar respons mesin yuk baca fakta amp mitos
Fri Dec 26 15:55:00 +0000 2025,1496846304697528323,️ Sebelum kamu mencampur etanol ke bensin mobil baca dulu hasil penelitian ini. Bisa mempengaruhi tenaga torsi dan efisiensi BBM! https://t.co/NlunQUAaq3 #AutoTips #BBMEtanol #PerformaKendaraan #Bensin #Otomotif,sebelum kamu mencampur etanol ke bensin mobil baca dulu hasil penelitian ini bisa mempengaruhi tenaga torsi dan efisiensi bbm,sebelum kamu mencampur etanol ke bensin mobil baca dulu hasil penelitian ini bisa mempengaruhi tenaga torsi dan efisiensi bbm,"['mencampur', 'etanol', 'bensin', 'mobil', 'baca', 'hasil', 'penelitian', 'mempengaruhi', 'tenaga', 'torsi', 'efisiensi', 'bbm']","['campur', 'etanol', 'bensin', 'mobil', 'baca', 'hasil', 'teliti', 'pengaruh', 'tenaga', 'torsi', 'efisiensi', 'bbm']",campur etanol bensin mobil baca hasil teliti pengaruh tenaga torsi efisiensi bbm
Fri Dec 26 14:55:00 +0000 2025,1496846304697528323, Mau mesin lebih bertenaga tanpa boros bensin? Pelajari bagaimana dosis etanol bisa berdampak besar terhadap performa dan efisiensi bahan bakar. ️ https://t.co/NlunQUAIfB,mau mesin lebih bertenaga tanpa boros bensin pelajari bagaimana dosis etanol bisa berdampak besar terhadap performa dan efisiensi bahan bakar,mau mesin lebih bertenaga tanpa boros bensin pelajari bagaimana dosis etanol bisa berdampak besar terhadap performa dan efisiensi bahan bakar,"['mesin', 'bertenaga', 'boros', 'bensin', 'pelajari', 'dosis', 'etanol', 'berdampak', 'performa', 'efisiensi', 'bahan', 'bakar']","['mesin', 'tenaga', 'boros', 'bensin', 'ajar', 'dosis', 'etanol', 'dampak', 'performa', 'efisiensi', 'bahan', 'bakar']",mesin tenaga boros bensin ajar dosis etanol dampak performa efisiensi bahan bakar
Fri Dec 26 14:06:38 +0000 2025,446968758,@anekchandesu Dukung kak met mnginjak kpl bhil etanol,dukung kak met mnginjak kpl bhil etanol,dukung kak selamat mnginjak kpl bhil etanol,"['dukung', 'kak', 'selamat', 'mnginjak', 'kpl', 'bhil', 'etanol']","['dukung', 'kak', 'selamat', 'mnginjak', 'kpl', 'bhil', 'etanol']",dukung kak selamat mnginjak kpl bhil etanol
Fri Dec 26 14:06:21 +0000 2025,1632918924,Menteri ESDM Bahlil Pastikan Implementasi Etanol Berjalan Tahun 2027 https://t.co/4K5zOrvxrR,menteri esdm bahlil pastikan implementasi etanol berjalan tahun,menteri esdm bahlil pastikan implementasi etanol berjalan tahun,"['menteri', 'esdm', 'bahlil', 'pastikan', 'implementasi', 'etanol', 'berjalan']","['menteri', 'esdm', 'bahlil', 'pasti', 'implementasi', 'etanol', 'jalan']",menteri esdm bahlil pasti implementasi etanol jalan
Fri Dec 26 13:54:51 +0000 2025,1496846304697528323, Apakah benar campuran etanol dapat meningkatkan performa mesin sekaligus menghemat konsumsi BBM? Simak hasil uji &amp; analisis lengkapnya di artikel ini! https://t.co/NlunQUAIfB #Etanol #PerformaMesin #KonsumsiBBM #OtomotifIndonesia #EcoDriving,apakah benar campuran etanol dapat meningkatkan performa mesin sekaligus menghemat konsumsi bbm simak hasil uji amp analisis lengkapnya di artikel ini,apakah benar campuran etanol dapat meningkatkan performa mesin sekaligus menghemat konsumsi bbm simak hasil uji amp analisis lengkapnya di artikel ini,"['campuran', 'etanol', 'meningkatkan', 'performa', 'mesin', 'menghemat', 'konsumsi', 'bbm', 'simak', 'hasil', 'uji', 'amp', 'analisis', 'lengkapnya', 'artikel']","['campur', 'etanol', 'tingkat', 'performa', 'mesin', 'hemat', 'konsumsi', 'bbm', 'simak', 'hasil', 'uji', 'amp', 'analisis', 'lengkap', 'artikel']",campur etanol tingkat performa mesin hemat konsumsi bbm simak hasil uji amp analisis lengkap artikel
Fri Dec 26 13:29:24 +0000 2025,1720665183188922368,@SelenRose13 Visi Pak Prabowo untuk Papua sebagai pusat bioenergi nasional fokus pada produksi biofuel dari kelapa sawit tebu dan singkong untuk kurangi impor BBM dan capai kemandirian energi. Bandingkan dengan Brasil: Sukses dengan etanol tebu kurangi impor minyak hingga 30% sejak,visi pak prabowo untuk papua sebagai pusat bioenergi nasional fokus pada produksi biofuel dari kelapa sawit tebu dan singkong untuk kurangi impor bbm dan capai kemandirian energi bandingkan dengan brasil sukses dengan etanol tebu kurangi impor minyak hingga sejak,visi pak prabowo untuk papua sebagai pusat bioenergi nasional fokus pada produksi biofuel dari kelapa sawit tebu dan singkong untuk kurangi impor bbm dan capai kemandirian energi bandingkan dengan brasil sukses dengan etanol tebu kurangi impor minyak hingga sejak,"['visi', 'prabowo', 'papua', 'pusat', 'bioenergi', 'nasional', 'fokus', 'produksi', 'biofuel', 'kelapa', 'sawit', 'tebu', 'singkong', 'kurangi', 'impor', 'bbm', 'capai', 'kemandirian', 'energi', 'bandingkan', 'brasil', 'sukses', 'etanol', 'tebu', 'kurangi', 'impor', 'minyak']","['visi', 'prabowo', 'papua', 'pusat', 'bioenergi', 'nasional', 'fokus', 'produksi', 'biofuel', 'kelapa', 'sawit', 'tebu', 'singkong', 'kurang', 'impor', 'bbm', 'capai', 'mandiri', 'energi', 'banding', 'brasil', 'sukses', 'etanol', 'tebu', 'kurang', 'impor', 'minyak']",visi prabowo papua pusat bioenergi nasional fokus produksi biofuel kelapa sawit tebu singkong kurang impor bbm capai mandiri energi banding brasil sukses etanol tebu kurang impor minyak
Fri Dec 26 13:29:02 +0000 2025,1720665183188922368,@wdykusumaa_ Wah makasih ya udah tag! Roadmap Pak Prabowo buat Papua jadi pusat energi nasional fokus energi hijau: kembangkan solar mini-hydro geothermal &amp; bioenergi dari sawit (biodiesel) tebu-singkong (etanol). Target swasembada 5 tahun kurangi impor BBM hemat triliunan. Potensinya,wah makasih ya udah tag roadmap pak prabowo buat papua jadi pusat energi nasional fokus energi hijau kembangkan solar mini hydro geothermal amp bioenergi dari sawit biodiesel tebu singkong etanol target swasembada tahun kurangi impor bbm hemat triliunan potensinya,wah terima kasih ya sudah tag roadmap pak prabowo buat papua jadi pusat energi nasional fokus energi hijau kembangkan solar mini hydro geothermal amp bioenergi dari sawit biodiesel tebu singkong etanol target swasembada tahun kurangi impor bbm hemat triliunan potensinya,"['terima', 'kasih', 'tag', 'roadmap', 'prabowo', 'papua', 'pusat', 'energi', 'nasional', 'fokus', 'energi', 'hijau', 'kembangkan', 'solar', 'mini', 'hydro', 'geothermal', 'amp', 'bioenergi', 'sawit', 'biodiesel', 'tebu', 'singkong', 'etanol', 'target', 'swasembada', 'kurangi', 'impor', 'bbm', 'hemat', 'triliunan', 'potensinya']","['terima', 'kasih', 'tag', 'roadmap', 'prabowo', 'papua', 'pusat', 'energi', 'nasional', 'fokus', 'energi', 'hijau', 'kembang', 'solar', 'mini', 'hydro', 'geothermal', 'amp', 'bioenergi', 'sawit', 'biodiesel', 'tebu', 'singkong', 'etanol', 'target', 'swasembada', 'kurang', 'impor', 'bbm', 'hemat', 'triliun', 'potensi']",terima kasih tag roadmap prabowo papua pusat energi nasional fokus energi hijau kembang solar mini hydro geothermal amp bioenergi sawit biodiesel tebu singkong etanol target swasembada kurang impor bbm hemat triliun potensi
Fri Dec 26 13:28:17 +0000 2025,1720665183188922368,@ndiaahfz Betul Indonesia lagi gencar garap potensi energi hijau di Papua. Pemerintah rencanain Papua jadi pusat bioenergi nasional fokus biodiesel dari kelapa sawit dan etanol. Targetnya renewable energy capai 23% di 2025 dengan investasi besar seperti JETP US$92 miliar sampai 2050,betul indonesia lagi gencar garap potensi energi hijau di papua pemerintah rencanain papua jadi pusat bioenergi nasional fokus biodiesel dari kelapa sawit dan etanol targetnya renewable energy capai di dengan investasi besar seperti jetp us miliar sampai,betul indonesia lagi gencar garap potensi energi hijau di papua pemerintah rencanain papua jadi pusat bioenergi nasional fokus biodiesel dari kelapa sawit dan etanol targetnya renewable energy capai di dengan investasi besar seperti jetp us miliar sampai,"['indonesia', 'gencar', 'garap', 'potensi', 'energi', 'hijau', 'papua', 'pemerintah', 'rencanain', 'papua', 'pusat', 'bioenergi', 'nasional', 'fokus', 'biodiesel', 'kelapa', 'sawit', 'etanol', 'targetnya', 'renewable', 'energy', 'capai', 'investasi', 'jetp', 'miliar']","['indonesia', 'gencar', 'garap', 'potensi', 'energi', 'hijau', 'papua', 'perintah', 'rencanain', 'papua', 'pusat', 'bioenergi', 'nasional', 'fokus', 'biodiesel', 'kelapa', 'sawit', 'etanol', 'target', 'renewable', 'energy', 'capai', 'investasi', 'jetp', 'miliar']",indonesia gencar garap potensi energi hijau papua perintah rencanain papua pusat bioenergi nasional fokus biodiesel kelapa sawit etanol target renewable energy capai investasi jetp miliar
Fri Dec 26 13:27:43 +0000 2025,1720665183188922368,@asroofijgt_ Bener banget upaya pemerintah bikin Papua jadi pusat energi terbarukan lagi digencarkan buat mandiri energi. Fakta: Rencana fokus bioenergy dari kelapa sawit tebu singkong buat etanol &amp; biodiesel. Tujuannya kurangi impor BBM (Rp500T/tahun) stop impor diesel 2026 &amp; bensin,bener banget upaya pemerintah bikin papua jadi pusat energi terbarukan lagi digencarkan buat mandiri energi fakta rencana fokus bioenergy dari kelapa sawit tebu singkong buat etanol amp biodiesel tujuannya kurangi impor bbm rpt tahun stop impor diesel amp bensin,benar banget upaya pemerintah bikin papua jadi pusat energi terbarukan lagi digencarkan buat mandiri energi fakta rencana fokus bioenergy dari kelapa sawit tebu singkong buat etanol amp biodiesel tujuannya kurangi impor bbm rpt tahun stop impor diesel amp bensin,"['banget', 'upaya', 'pemerintah', 'bikin', 'papua', 'pusat', 'energi', 'terbarukan', 'digencarkan', 'mandiri', 'energi', 'fakta', 'rencana', 'fokus', 'bioenergy', 'kelapa', 'sawit', 'tebu', 'singkong', 'etanol', 'amp', 'biodiesel', 'tujuannya', 'kurangi', 'impor', 'bbm', 'rpt', 'stop', 'impor', 'diesel', 'amp', 'bensin']","['banget', 'upaya', 'perintah', 'bikin', 'papua', 'pusat', 'energi', 'baru', 'gencar', 'mandiri', 'energi', 'fakta', 'rencana', 'fokus', 'bioenergy', 'kelapa', 'sawit', 'tebu', 'singkong', 'etanol', 'amp', 'biodiesel', 'tuju', 'kurang', 'impor', 'bbm', 'rpt', 'stop', 'impor', 'diesel', 'amp', 'bensin']",banget upaya perintah bikin papua pusat energi baru gencar mandiri energi fakta rencana fokus bioenergy kelapa sawit tebu singkong etanol amp biodiesel tuju kurang impor bbm rpt stop impor diesel amp bensin
Fri Dec 26 13:26:38 +0000 2025,1720665183188922368,@lyoravin_ Bener banget rencana Prabowo buat Papua jadi pusat energi nasional fokus pada kemandirian melalui bioenergi (sawit untuk biodiesel tebu/singkong untuk etanol) dan EBT seperti surya hidro geothermal. Target: swasembada dalam 5 tahun hemat impor Rp520T/tahun. Tapi ada kritik,bener banget rencana prabowo buat papua jadi pusat energi nasional fokus pada kemandirian melalui bioenergi sawit untuk biodiesel tebu singkong untuk etanol dan ebt seperti surya hidro geothermal target swasembada dalam tahun hemat impor rpt tahun tapi ada kritik,benar banget rencana prabowo buat papua jadi pusat energi nasional fokus pada kemandirian melalui bioenergi sawit untuk biodiesel tebu singkong untuk etanol dan ebt seperti surya hidro geothermal target swasembada dalam tahun hemat impor rpt tahun tapi ada kritik,"['banget', 'rencana', 'prabowo', 'papua', 'pusat', 'energi', 'nasional', 'fokus', 'kemandirian', 'bioenergi', 'sawit', 'biodiesel', 'tebu', 'singkong', 'etanol', 'ebt', 'surya', 'hidro', 'geothermal', 'target', 'swasembada', 'hemat', 'impor', 'rpt', 'kritik']","['banget', 'rencana', 'prabowo', 'papua', 'pusat', 'energi', 'nasional', 'fokus', 'mandiri', 'bioenergi', 'sawit', 'biodiesel', 'tebu', 'singkong', 'etanol', 'ebt', 'surya', 'hidro', 'geothermal', 'target', 'swasembada', 'hemat', 'impor', 'rpt', 'kritik']",banget rencana prabowo papua pusat energi nasional fokus mandiri bioenergi sawit biodiesel tebu singkong etanol ebt surya hidro geothermal target swasembada hemat impor rpt kritik
Fri Dec 26 13:25:31 +0000 2025,1720665183188922368,@crisscpy Rencana Presiden Prabowo jadikan Papua lumbung energi ramah lingkungan fokus pada bioenergi seperti biodiesel dari sawit &amp; etanol dari tebu. Dampak positif: kurangi impor BBM hemat triliunan rupiah ciptakan lapangan kerja dorong kemandirian energi. Tapi ada kekhawatiran:,rencana presiden prabowo jadikan papua lumbung energi ramah lingkungan fokus pada bioenergi seperti biodiesel dari sawit amp etanol dari tebu dampak positif kurangi impor bbm hemat triliunan rupiah ciptakan lapangan kerja dorong kemandirian energi tapi ada kekhawatiran,rencana presiden prabowo jadikan papua lumbung energi ramah lingkungan fokus pada bioenergi seperti biodiesel dari sawit amp etanol dari tebu dampak positif kurangi impor bbm hemat triliunan rupiah ciptakan lapangan kerja dorong kemandirian energi tapi ada kekhawatiran,"['rencana', 'presiden', 'prabowo', 'jadikan', 'papua', 'lumbung', 'energi', 'ramah', 'lingkungan', 'fokus', 'bioenergi', 'biodiesel', 'sawit', 'amp', 'etanol', 'tebu', 'dampak', 'positif', 'kurangi', 'impor', 'bbm', 'hemat', 'triliunan', 'rupiah', 'ciptakan', 'lapangan', 'kerja', 'dorong', 'kemandirian', 'energi', 'kekhawatiran']","['rencana', 'presiden', 'prabowo', 'jadi', 'papua', 'lumbung', 'energi', 'ramah', 'lingkung', 'fokus', 'bioenergi', 'biodiesel', 'sawit', 'amp', 'etanol', 'tebu', 'dampak', 'positif', 'kurang', 'impor', 'bbm', 'hemat', 'triliun', 'rupiah', 'cipta', 'lapang', 'kerja', 'dorong', 'mandiri', 'energi', 'khawatir']",rencana presiden prabowo jadi papua lumbung energi ramah lingkung fokus bioenergi biodiesel sawit amp etanol tebu dampak positif kurang impor bbm hemat triliun rupiah cipta lapang kerja dorong mandiri energi khawatir
Fri Dec 26 13:22:13 +0000 2025,1917943363246153728,@ngalamfess anda butuh someone to trip? kesepian? butuh guide dengan skill semacam paduka el kontol bahlil bin etanol? langsung dm raja iblis. harga sesuai kantong bos sawit bos bara.,anda butuh someone to trip kesepian butuh guide dengan skill semacam paduka el kontol bahlil bin etanol langsung dm raja iblis harga sesuai kantong bos sawit bos bara,anda butuh someone tapi trip kesepian butuh guide dengan skill semacam paduka el kontol bahlil bin etanol langsung dm raja iblis harga sesuai kantong bos sawit bos bara,"['butuh', 'someone', 'trip', 'kesepian', 'butuh', 'guide', 'skill', 'paduka', 'kontol', 'bahlil', 'bin', 'etanol', 'langsung', 'raja', 'iblis', 'harga', 'sesuai', 'kantong', 'bos', 'sawit', 'bos', 'bara']","['butuh', 'someone', 'trip', 'sepi', 'butuh', 'guide', 'skill', 'paduka', 'kontol', 'bahlil', 'bin', 'etanol', 'langsung', 'raja', 'iblis', 'harga', 'sesuai', 'kantong', 'bos', 'sawit', 'bos', 'bara']",butuh someone trip sepi butuh guide skill paduka kontol bahlil bin etanol langsung raja iblis harga sesuai kantong bos sawit bos bara
Fri Dec 26 11:47:15 +0000 2025,3811914674,Menteri ESDM Bahlil Sarankan Program Etanol Bisa Dijalankan Tahun 2027 https://t.co/5zDEyJmuaq,menteri esdm bahlil sarankan program etanol bisa dijalankan tahun,menteri esdm bahlil sarankan program etanol bisa dijalankan tahun,"['menteri', 'esdm', 'bahlil', 'sarankan', 'program', 'etanol', 'dijalankan']","['menteri', 'esdm', 'bahlil', 'saran', 'program', 'etanol', 'jalan']",menteri esdm bahlil saran program etanol jalan
Fri Dec 26 11:45:34 +0000 2025,585858346,Menteri ESDM Bahlil Sarankan Program Etanol Bisa Dijalankan Tahun 2027 https://t.co/goi6bw0csk,menteri esdm bahlil sarankan program etanol bisa dijalankan tahun,menteri esdm bahlil sarankan program etanol bisa dijalankan tahun,"['menteri', 'esdm', 'bahlil', 'sarankan', 'program', 'etanol', 'dijalankan']","['menteri', 'esdm', 'bahlil', 'saran', 'program', 'etanol', 'jalan']",menteri esdm bahlil saran program etanol jalan
Fri Dec 26 11:42:57 +0000 2025,1448495509220462601,@ousdeby @ningasera macam orba je nak bakar² pake etanol? https://t.co/nhe4ngenDW,macam orba je nak bakar² pake etanol,macam orba je nak bakar² pakai etanol,"['orba', 'nak', 'bakar²', 'pakai', 'etanol']","['orba', 'nak', 'bakar', 'pakai', 'etanol']",orba nak bakar pakai etanol
Fri Dec 26 11:32:45 +0000 2025,1952535730301132800,@ifuknowme__ @baseawf Hahahhaaa bersulang untuk etanol bahlil,hahahhaaa bersulang untuk etanol bahlil,hahahhaaa bersulang untuk etanol bahlil,"['hahahhaaa', 'bersulang', 'etanol', 'bahlil']","['hahahhaaa', 'sulang', 'etanol', 'bahlil']",hahahhaaa sulang etanol bahlil
Fri Dec 26 10:26:10 +0000 2025,1793300507320291328,@fallfalengel aku aja ga pernah dibilang ganteng sama jia kalah sama etanol https://t.co/3qH4nnXGEL,aku aja ga pernah dibilang ganteng sama jia kalah sama etanol,aku saja tidak pernah dibilang ganteng sama jia kalah sama etanol,"['dibilang', 'ganteng', 'jia', 'kalah', 'etanol']","['bilang', 'ganteng', 'jia', 'kalah', 'etanol']",bilang ganteng jia kalah etanol
